Planet Name,Global ESI,Long-term Stability,Atmospheric Retention,Habitability Index,Rank,Habitability_Category
TOI-269 b,0.4182532166485921,0.999997943750263,0.0315320269220378,0.5154323968337825,1201.0,Non-Habitable
HD 8326 b,0.4114547607322723,0.9999850505560464,0.0484277174691278,0.5154084390267756,1202.0,Non-Habitable
Kepler-777 b,0.4212466041138296,1.0,0.0237967077183376,0.5153826436005823,1203.0,Non-Habitable
HD 134060 c,0.4142216981771096,0.9999630880558712,0.0413581989997304,0.5153714153052622,1204.0,Non-Habitable
Kepler-1474 b,0.4193140605767192,1.0,0.0275466702009388,0.5151663643285473,1205.0,Non-Habitable
HD 216435 b,0.390309295483343,0.9999748692274252,0.0998907885225043,0.5151252662143999,1206.0,Non-Habitable
Kepler-404 c,0.4200718183221255,1.0,0.0252739223313133,0.5150906936273253,1207.0,Non-Habitable
HD 3167 c,0.4164337221789874,0.9999985056165592,0.0341137622965436,0.5150391652337702,1208.0,Non-Habitable
Kepler-1102 b,0.4180590433248619,1.0,0.0298116621037839,0.5149918540831878,1209.0,Non-Habitable
Kepler-386 b,0.4206614350785568,1.0,0.0232951718075807,0.5149897519007945,1210.0,Non-Habitable
Kepler-665 b,0.4175812629233605,1.0,0.0295450275048793,0.5146996369626561,1211.0,Non-Habitable
HD 89839 b,0.3464853893898917,0.9998751445159662,0.2074219928179542,0.5146896366133266,1212.0,Non-Habitable
Kepler-530 b,0.416781644613788,1.0,0.0312344339231999,0.5146377090915341,1213.0,Non-Habitable
K2-356 b,0.4179112389349572,0.9999999999932768,0.0281496924941638,0.5145855579642944,1214.0,Non-Habitable
Kepler-189 b,0.4200967480297734,1.0,0.021799683164142,0.5144083106477151,1215.0,Non-Habitable
Kepler-310 b,0.420244369079006,1.0,0.0213339728693508,0.5143889791133731,1216.0,Non-Habitable
Kepler-1022 b,0.4173471428598679,1.0,0.0284773762492025,0.5143690466797745,1217.0,Non-Habitable
Kepler-1897 b,0.4164908331039009,1.0,0.0304527263747475,0.5143359618269,1218.0,Non-Habitable
Kepler-164 e,0.4143372843356645,1.0,0.0356027256681072,0.5142891873014538,1219.0,Non-Habitable
Kepler-1675 b,0.415898665403049,1.0,0.031675010840513,0.5142843348696271,1220.0,Non-Habitable
K2-5 b,0.4179866943324926,0.9999999999987098,0.0262807617944269,0.5142494995247446,1221.0,Non-Habitable
HD 133131 A b,0.3857167646942302,0.9999333585762968,0.1065982059650198,0.5141580311130082,1222.0,Non-Habitable
GJ 682 c,0.4151429336811317,0.999997531799122,0.0324868265314501,0.5140680916865925,1223.0,Non-Habitable
HD 30562 b,0.384703278995642,0.9997505995203836,0.1084920094113865,0.5139752212362134,1224.0,Non-Habitable
HD 45364 b,0.4087576883346922,0.9999936173026492,0.0473179924554234,0.5138405278492255,1225.0,Non-Habitable
Kepler-397 b,0.4160845339883812,1.0,0.0289233189985562,0.5138269307939018,1226.0,Non-Habitable
Kepler-1254 b,0.4179439614978559,1.0,0.0242617578404011,0.5138243323170082,1227.0,Non-Habitable
HD 33844 c,0.3807092466858793,0.9999591624945656,0.1167837133498146,0.5136991147612723,1228.0,Non-Habitable
Kepler-1440 b,0.4183897738640813,1.0,0.0225002327021376,0.5136949334724682,1229.0,Non-Habitable
HD 147513 b,0.3881156772114237,0.9999518700828812,0.0979485860184256,0.5136331168342614,1230.0,Non-Habitable
Kepler-1085 c,0.4143491872928126,1.0,0.0321906527995905,0.5136127242063244,1231.0,Non-Habitable
Kepler-137 c,0.4166946128191809,1.0,0.0260980268552874,0.513566911780648,1232.0,Non-Habitable
