P_NAME,P_MASS,P_RADIUS,P_DISTANCE,P_PERIOD,P_SEMI_MAJOR_AXIS,P_ECCENTRICITY,P_ESCAPE,P_POTENTIAL,P_GRAVITY,P_FLUX,P_TEMP_EQUIL,P_TEMP_SURF,P_HABITABLE,P_DENSITY,S_TEMPERATURE,S_MASS,S_RADIUS,S_LUMINOSITY
TOI-4342 b,5.76,2.266,0.05251,5.5382498,0.05251,1.7181188802382145e-07,1.5943413,2.5419241,1.121767,27.071727,581.07033,656.22763,0,0.49504282,3901.0,0.63,0.6,0.074644876
HD 109833 b,8.69,2.888,0.089494003,9.188526,0.088067312,0.18,1.7346477,3.0090028,1.0418985,154.7115,892.90491,988.27378136,0,0.36076817,5881.0,1.08,1.0,1.1803206
K2-8 b,12.5,3.58,0.0856,10.35239,0.0856,2.1936588243008882e-07,1.8685877,3.4916201,0.97531288,38.199042,633.30487,703.7521375200001,0,0.27243377,4870.0,0.78,0.74,0.27989813
Kepler-46 d,3.33,1.64,0.067,6.766589,0.067,0.0,1.4249519,2.0304878,1.2381023,93.293287,791.70303,894.10417,0,0.75494044,5309.0,0.92,0.79,0.41879357
WASP-171 b,344.52772,10.985,0.0504,3.8186244,0.0504,0.0,5.6003098,31.36347,2.8551179,1849.8603,1670.646,1840.6780160000003,0,0.2599106,5965.0,1.17,1.64,4.6989411
PZ Tel b,8581.367,11.9,30.6504,44000.0,27.0,0.52,26.853739,721.12328,60.598595,0.0016320372,48.331004,62.620780384,0,5.0923189,5169.0,1.36,1.26,1.0162487
K2-316 c,4.01,1.83,0.0582,5.26,0.0582,1.8088130950527265e-07,1.4802894,2.1912568,1.1974081,4.3667068,368.24615,415.87616,0,0.65432137,3436.0,0.41,0.38,0.014791084
TOI-2010 b,408.72733,11.814,0.56399556,141.83402,0.5516,0.212,5.8819097,34.596862,2.928463,4.372573,365.21851,409.92948696,0,0.24788074,5929.0,1.11,1.08,1.3001696
K2-38 c,7.4,2.49,0.096254638,10.56103,0.0959,0.086,1.7239163,2.9718876,1.1935291,118.84332,839.92258,948.56057,0,0.47932897,5705.0,1.05,1.14,1.0889301
K2-222 b,8.7,2.35,0.12214368,15.38857,0.1206,0.16,1.9240914,3.7021277,1.5753735,95.926091,793.37115,895.98805,0,0.67037169,5942.0,0.99,1.11,1.3772095
Kepler-1834 c,1.98,1.22,0.015,0.76669152,0.015,0.0,1.2739509,1.6229508,1.3302876,1177.1112,1492.1211,1685.1163,0,1.0903996,4821.0,0.77,0.79,0.26485001
Kepler-1991 c,7.13,2.57,0.1528,22.790204,0.1528,0.0,1.6656287,2.7743191,1.0795016,33.400525,612.40402,680.84480592,0,0.42003953,5478.0,0.91,1.05,0.77983011
Kepler-297 d,89700.0,32.6,0.523,150.01895,0.523,0.0,52.455064,2751.5337,84.402876,2.9308705,333.3104,374.9581984,0,2.5890453,5618.0,0.85,0.9,0.80167806
OGLE-2018-BLG-1126L b,17.79839,4.41,3.23,5374724.954899364,3.23,1.3475145470626482e-06,2.008959,4.0359161,0.91517372,3.2080705466214262e-105,1.3076589131489878e-29,9.65,0,0.20752239,1.0339688527761057e-23,0.69,1.5457460865399666,9.412868808115148e-81
OGLE-2018-BLG-1367L b,301.93699,13.8,1.21,1934532.57171505,1.21,8.247548655420554e-07,4.6775519,21.879492,1.5854704,9.73104556583914e-106,9.7045047599997e-30,9.65,0,0.11488916,4.6965373373907036e-24,0.28,1.5457460865399666,4.0068519682158486e-82
Kepler-1988 b,2.96,1.53,0.1038,11.495002,0.1038,0.0,1.3909136,1.9346405,1.2644709,354.49106,1105.3531,1248.3226,0,0.82645159,6033.0,1.13,1.79,3.8194427
OGLE-2017-BLG-1375L b,3585.0,12.4,3.04,4529443.769475862,3.04,1.307281131669562e-06,17.00332,289.1129,23.315557,6.347862864598742e-105,1.5509235295114607e-29,9.65,0,1.8802868,1.1897039223372609e-23,0.81,1.5457460865399666,1.6498625104301103e-80
Kepler-210 c,12.8,3.62,0.07,7.972513,0.07,0.0,1.880402,3.5359116,0.97677116,32.419321,607.85597,675.86014312,0,0.26982629,4559.0,0.77,0.65,0.15885467
TOI-620 b,13.6,3.76,0.04941765,5.0988179,0.04825,0.22,1.9018468,3.6170213,0.96197374,22.687056,550.83312,613.36309952,0,0.25584408,3708.0,0.58,0.55,0.051522864
TOI-942 b,826.358,3.89,0.051472548,4.32421,0.04866,0.34,14.575025,212.43136,54.609605,196.48592,932.23245,1031.3767652,0,14.038459,4969.0,0.82,0.89,0.43752211
Kepler-1118 b,7.95,2.74,0.2079,38.671507,0.2079,0.0,1.7033672,2.9014599,1.058927,20.150741,539.72491,601.18850136,0,0.38646969,5688.0,0.96,0.97,0.87096359
Kepler-1303 b,2.6,1.42,0.0751,7.5612722,0.0751,0.0,1.3531393,1.8309859,1.2894267,176.49001,928.49537,1048.5896,0,0.90804697,5771.0,1.01,1.0,0.99540542
Kepler-1328 b,0.904,0.98,0.0529,4.5215889,0.0529,0.0,0.96044208,0.92244898,0.94127447,604.07193,1262.9085,1426.2567,0,0.96048415,5780.0,1.0,0.99,1.6904409
Kepler-1306 b,4.31,1.91,0.123,16.295954,0.123,0.0,1.5021799,2.2565445,1.1814369,57.172841,700.48228,791.08466,0,0.61855336,5727.0,0.98,0.97,0.86496792
Kepler-1254 d,2.27,1.31,0.0575,5.7271723,0.0575,0.0,1.3163679,1.7328244,1.3227667,81.033446,764.30339,863.16058,0,1.0097456,4985.0,0.78,0.75,0.26791683
Kepler-172 b,6.12,2.35,0.04,2.940309,0.04,0.0,1.6137705,2.6042553,1.1081938,580.60399,1250.4597,1412.1978,0,0.47157181,5526.0,1.0,1.08,0.92896639
Kepler-173 c,6.48,2.43,0.074,8.005777,0.074,0.0,1.6329932,2.6666667,1.0973937,216.53922,977.20088,1103.5948,0,0.45160234,6031.0,0.79,0.95,1.1857687
Kepler-174 d,5.43,2.19,0.677,247.35373,0.677,0.0,1.5746276,2.4794521,1.1321699,0.58724951,223.00026,251.84376,2,0.51697255,4880.0,0.6,0.62,0.26915348
Kepler-178 b,8.75,2.9,0.085,9.576694,0.085,0.0,1.7370208,3.0172414,1.0404281,85.735789,775.15802,859.22318992,0,0.3587683,5676.0,0.94,1.07,0.61944108
Kepler-178 c,8.65,2.88,0.142,20.552802,0.142,0.0,1.7330529,3.0034722,1.0428723,30.720149,599.72967,666.9537183200001,0,0.36210844,5676.0,0.94,1.07,0.61944108
TOI-5704 b,10.5,3.227,0.042683872,3.771116,0.042683872,1.5490452543421706e-07,1.8038282,3.2537961,1.0083037,126.02955,853.52807,945.11676472,0,0.31245854,4590.0,0.73,0.76,0.22961486
Kepler-159 c,11.5,3.41,0.218,43.595792,0.218,0.0,1.8364188,3.372434,0.98898358,3.70755,353.48539,397.06998744,0,0.29002451,4625.0,0.63,0.66,0.1761976
Kepler-1609 b,5.56,2.22,0.4679,114.34219,0.4679,0.0,1.5825626,2.5045045,1.1281552,13.921753,492.06581,555.71101,0,0.50817801,6132.0,1.18,1.27,3.047895
Kepler-1622 b,2.76,1.47,0.0994,10.811874,0.0994,0.0,1.3702376,1.877551,1.2772456,238.9061,1001.5128,1131.0514,0,0.86887455,6436.0,1.31,1.5,2.3604782
Kepler-184 c,8.8,1.97,0.141,20.303005,0.141,0.0,2.1135291,4.4670051,2.2675153,29.961377,595.99162,673.07888,0,1.151023,5788.0,0.97,0.87,0.59566214
Kepler-183 c,35.7,2.27,0.103,11.637071,0.103,0.0,3.9657121,15.726872,6.9281376,100.07499,805.71435,909.92775,0,3.052043,5888.0,0.94,0.96,1.0616956
Kepler-191 b,2.36,1.34,0.087,9.939632,0.087,0.0,1.3270999,1.761194,1.3143239,50.928571,680.51873,768.53897,0,0.98083873,5282.0,0.81,0.79,0.38547836
Kepler-194 b,2.89,1.51,0.032,2.092281,0.032,0.0,1.3834404,1.9139073,1.2674883,1078.2018,1459.7373,1648.544,0,0.8393962,6089.0,1.09,1.02,1.1040786
Kepler-194 d,6.35,2.4,0.275,52.814973,0.275,0.0,1.6266018,2.6458333,1.1024306,14.599387,497.94728,562.3532,0,0.45934606,6089.0,1.09,1.02,1.1040786
Kepler-218 b,2.79,1.48,0.046,3.619337,0.046,0.0,1.3730022,1.8851351,1.27374,482.48558,1193.9078,1348.3313,0,0.86063511,5502.0,1.02,1.06,1.0209395
Kepler-218 c,10.0,3.14,0.248,44.699576,0.248,0.0,1.7845765,3.1847134,1.0142399,16.599562,514.19029,573.20255784,0,0.32300635,5502.0,1.02,1.06,1.0209395
Kepler-219 b,9.01,2.95,0.057,4.585512,0.057,0.0,1.7476376,3.0542373,1.0353347,503.79087,1206.875,1332.3850000000002,0,0.35096091,5786.0,1.17,1.49,1.6368165
Kepler-198 d,2.96,1.53,0.0229,1.3118444,0.0229,0.0,1.3909136,1.9346405,1.2644709,1483.6417,1581.0004,1785.4915,0,0.82645159,5636.0,0.97,0.93,0.77803655
EPIC 220674823 b,8.21,1.725,0.01326,0.571292,0.01326,0.0,2.1816096,4.7594203,2.7590842,4324.2715,2065.7509,2332.941,0,1.5994691,5532.0,0.95,0.99,0.76032628
Kepler-1637 b,0.64,0.89,0.0596,6.1096032,0.0596,0.0,0.8479983,0.71910112,0.80797879,296.82979,1057.369,1194.1322,0,0.90784134,5789.0,1.02,1.02,1.0543869
Kepler-1616 b,1.04,1.02,0.0761,6.7628438,0.0761,0.0,1.0097563,1.0196078,0.99961553,750.29264,1333.2371,1505.6818,0,0.98001523,6266.0,1.21,1.34,4.3451022
Kepler-223 b,7.4,2.99,0.075829975,7.38449,0.0756,0.078,1.5731867,2.4749164,0.82773123,412.36478,1146.6303,1266.3568088000002,0,0.27683319,5803.0,1.12,1.72,2.3496328
Kepler-223 c,5.1,3.44,0.0926305,9.84564,0.0916,0.15,1.2176034,1.4825581,0.4309762,283.23745,1040.609,1150.157464,0,0.12528378,5803.0,1.12,1.72,2.3496328
K2-316 b,2.33,1.33,0.0147,1.133,0.0147,9.090564833053953e-08,1.3235859,1.7518797,1.3172028,68.44872,732.72505,827.49781,0,0.99037803,3436.0,0.41,0.38,0.014791084
K2-322 b,4.35,1.92,0.0594,8.205,0.0594,1.827365509656553e-07,1.5051993,2.265625,1.180013,25.907596,574.72023,649.05619,0,0.61459012,4141.0,0.63,0.6,0.091411324
Kepler-1624 b,27.6,5.7,0.0327,3.2903045,0.0327,0.0,2.2004784,4.8421053,0.84949215,44.45335,657.77268,730.5688572800001,0,0.14903371,3636.0,0.5,0.47,0.047533523
Kepler-17 b,778.65,14.68,0.025911568,1.4857108,0.02591,0.011,7.2829632,53.041553,3.6131848,1531.4099,1593.5391,1756.1688536,0,0.24612976,5781.0,1.04,1.01,1.0280163
HD 184010 d,143.02278,14.3,1.92,836.4,1.92,0.0,3.1625295,10.001593,0.6994121,3.5513833,349.70279,392.92425784,0,0.048909937,4971.0,1.35,4.86,13.091819
Kepler-1643 b,5.99,2.32,0.0531,5.342657,0.0531,0.0,1.6068281,2.5818966,1.1128864,119.62197,842.46613,951.43311,0,0.47969243,4916.0,0.85,0.86,0.33728731
KOI-7368 b,5.56,2.22,0.0678,6.8430344,0.0678,0.0,1.5825626,2.5045045,1.1281552,105.08497,815.61436,921.10825,0,0.50817801,5241.0,0.88,0.87,0.4830588
KOI-7913 b,6.08,2.34,0.1456,24.278553,0.1456,0.0,1.6119214,2.5982906,1.1103806,8.0478014,429.06098,484.55696,0,0.47452162,4324.0,0.76,0.79,0.17060824
Kepler-1645 b,3.82,1.78,0.1285,16.177956,0.1285,0.0,1.4649462,2.1460674,1.2056559,131.27854,862.27967,973.80939,0,0.67733475,5812.0,1.02,1.02,2.1677041
HIP 81208 C b,4703.8604,12.3,23.04,104100.0,23.04,3.598930322365333e-06,19.555758,382.42768,31.091681,2.372249219733328e-109,1.2126167948659495e-30,9.65,0,2.5277789,2.5608051415878308e-24,0.14,1.5457460865399666,3.541590247420114e-83
EPIC 229004835 b,10.4,2.332,0.12697187,16.141132,0.1237,0.23,2.1117981,4.4596913,1.912389,71.955282,734.44336,829.43836,0,0.82006391,5868.0,0.97,1.0,1.0715193
K2-110 b,15.9,2.592,0.10293249,13.86375,0.10207,0.13,2.4767437,6.1342593,2.3666124,26.236441,574.69822,639.51924912,0,0.9130449,5010.0,0.74,0.71,0.27101916
Kepler-202 c,4.08,1.85,0.113,16.282493,0.113,0.0,1.4850607,2.2054054,1.192111,18.023665,524.88056,592.77011,0,0.64438434,4668.0,0.68,0.67,0.23014418
Kepler-264 b,11.1,3.33,0.249,40.806231,0.249,0.0,1.8257419,3.3333333,1.001001,78.813625,759.01444,841.52982624,0,0.3006009,6158.0,1.46,1.55,4.8865236
Kepler-166 d,3.64,1.73,0.0246,1.5540039,0.0246,0.0,1.4505331,2.1040462,1.2162117,680.97283,1301.3142,1469.6299,0,0.70301254,5350.0,0.88,0.83,0.41209752
Kepler-213 b,3.26,1.62,0.036,2.46236,0.036,0.0,1.4185717,2.0123457,1.2421887,931.95512,1407.5002,1589.5503,0,0.76678314,5696.0,1.07,1.2,1.2078138
Kepler-278 c,12.6,3.59,0.3322347,51.078775,0.294,0.51,1.8734325,3.5097493,0.97764605,56.068486,659.64727,732.6234079200001,0,0.2723248,4991.0,1.08,2.94,4.1686938
Kepler-280 b,2.7,1.45,0.032,2.139542,0.032,0.0,1.3645765,1.862069,1.2841855,842.75249,1372.5391,1550.0672,0,0.88564517,5744.0,0.96,0.89,0.86297855
Kepler-264 c,8.4,2.83,0.566,140.10126,0.566,0.0,1.7228459,2.9681979,1.0488332,15.253417,503.43278,561.41232688,0,0.37061243,6158.0,1.46,1.55,4.8865236
Kepler-231 b,35.4,1.73,0.074,10.065275,0.074,0.0,4.5235415,20.462428,11.827993,16.808794,515.80298,582.51842,0,6.8369901,3767.0,0.58,0.49,0.092044957
Kepler-233 c,7.8,2.71,0.287,60.418955,0.287,0.0,1.6965343,2.8782288,1.062077,5.7047446,393.69397,441.13859112,0,0.39191035,5360.0,0.85,0.76,0.46989411
Kepler-223 e,4.8,4.6,0.14568922,19.72567,0.1455,0.051,1.0215078,1.0434783,0.2268431,111.13211,826.69929,915.71242184,0,0.049313717,5803.0,1.12,1.72,2.3496328
Kepler-168 b,2.73,1.46,0.056,4.425391,0.056,0.0,1.3674293,1.869863,1.2807281,732.19026,1325.1215,1496.5165,0,0.87721102,6282.0,1.11,1.11,2.2961486
Kepler-233 b,6.48,2.43,0.077,8.472382,0.077,0.0,1.6329932,2.6666667,1.0973937,79.253518,760.07132,858.38112,0,0.45160234,5360.0,0.85,0.76,0.46989411
Kepler-235 d,4.86,2.05,0.122,20.060548,0.122,0.0,1.5397181,2.3707317,1.1564545,5.3122724,386.74062,436.76276,0,0.56412414,4255.0,0.58,0.55,0.079067863
Kepler-171 b,6.08,2.34,0.05,4.166972,0.05,0.0,1.6119214,2.5982906,1.1103806,333.47247,1088.5909,1229.3924,0,0.47452162,5642.0,0.91,0.84,0.83368118
Kepler-185 c,4.74,2.02,0.139,20.729042,0.139,0.0,1.5318403,2.3465347,1.1616508,16.216996,511.20172,577.32202,0,0.57507466,5208.0,0.81,0.81,0.31332857
Kepler-1654 b,158.915,9.18,2.0944788,1047.8356,2.026,0.26,4.1606492,17.311002,1.8857301,0.31039877,187.67703,215.34402488000003,0,0.20541722,5597.0,1.01,1.18,1.2302688
Kepler-173 b,2.21,1.29,0.048,4.263742,0.048,0.0,1.3088844,1.7131783,1.3280452,514.65657,1213.3304,1370.2661,0,1.0294924,6031.0,0.79,0.95,1.1857687
Kepler-194 c,7.22,2.59,0.131,17.308032,0.131,0.0,1.6696241,2.7876448,1.0763107,64.336497,721.463,800.373448,0,0.41556399,6089.0,1.09,1.02,1.1040786
Kepler-1661 b,17.0,3.87,0.63402831,175.06,0.633,0.057,2.0958924,4.3927649,1.1350814,0.76718348,238.26464,270.78804544,0,0.29330268,5100.0,0.84,0.76,0.3069022
GJ 887 c,7.6,2.67,0.12,21.789,0.12,2.5973042380154146e-07,1.6871402,2.8464419,1.0660831,2.5564512,322.11362,363.77672,0,0.39928207,3688.0,0.49,0.47,0.036812897
Kepler-238 e,169.7,5.6,0.1658,23.654,0.1658,0.0,5.504868,30.303571,5.411352,97.910879,801.3227,887.8996792000002,0,0.96631286,5732.0,1.06,0.96,2.6915348
Kepler-175 b,7.08,2.56,0.105,11.903515,0.105,0.0,1.6630168,2.765625,1.0803223,141.7821,879.03276,973.06990496,0,0.42200089,6064.0,1.12,1.01,1.5631476
Kepler-175 c,9.8,3.1,0.213,34.035257,0.213,0.0,1.7780018,3.1612903,1.0197711,34.454091,617.17725,686.076266,0,0.32895841,6064.0,1.12,1.01,1.5631476
Kepler-176 b,2.63,1.43,0.058,5.433074,0.058,0.0,1.3561566,1.8391608,1.2861265,117.25841,838.27345,946.69814,0,0.89938913,5232.0,0.79,0.89,0.3944573
Kepler-222 d,13.2,3.69,0.18,28.081912,0.18,0.0,1.8913582,3.5772358,0.96944059,14.172778,494.2691,551.3689336,0,0.26272103,5433.0,0.88,0.87,0.45919801
Kepler-24 c,508.5,2.8,0.106,12.3335,0.106,0.0,13.476169,181.60714,64.859694,103.13077,811.79576,899.37815296,0,23.164176,5800.0,1.03,1.07,1.1587774
Kepler-241 b,6.04,2.33,0.094,12.718092,0.094,0.0,1.6100542,2.5922747,1.1125642,27.973338,585.84912,661.62452,0,0.47749538,4699.0,0.67,0.67,0.24717241
Kepler-180 b,2.86,1.5,0.109,13.817124,0.109,0.0,1.380821,1.9066667,1.2711111,62.107923,715.13241,807.62968,0,0.84740741,5731.0,0.95,1.06,0.73790423
Kepler-182 b,7.18,2.58,0.096,9.825792,0.096,0.0,1.6682163,2.7829457,1.0786611,239.58385,1002.2224,1108.0857504000005,0,0.41808571,6250.0,1.16,1.15,2.2080047
Kepler-251 b,2.33,1.33,0.053,4.790936,0.053,0.0,1.3235859,1.7518797,1.3172028,239.57873,1002.217,1131.8466,0,0.99037803,5526.0,0.95,0.89,0.67297666
Kepler-189 b,1.92,1.21,0.088,10.399931,0.088,0.0,1.2596733,1.5867769,1.3113858,46.02933,663.52665,749.34909,0,1.0837899,5235.0,0.79,0.75,0.35645113
Kepler-192 c,8.2,2.79,0.15,21.2234,0.15,0.0,1.7143711,2.9390681,1.0534294,35.794597,623.09473,692.5618240800001,0,0.37757327,5479.0,0.94,1.01,0.80537844
Kepler-192 d,1.04,1.02,0.0668,6.4702758,0.0668,0.0,1.0097563,1.0196078,0.99961553,180.48748,933.70886,1054.4774,0,0.98001523,5487.0,0.94,0.94,0.80537844
Kepler-193 c,8.0,2.75,0.286,50.697494,0.286,0.0,1.7056057,2.9090909,1.0578512,15.391039,504.5645,562.652692,0,0.38467318,6335.0,1.14,1.15,1.2589254
Kepler-1582 b,2.83,1.49,0.0316,4.8381771,0.0316,0.0,1.3781614,1.8993289,1.2747174,4.0890821,362.24814,409.10236,0,0.855515,3208.0,0.28,0.3,0.0040831939
Kepler-1583 b,0.156,0.6,0.085,9.3280735,0.085,0.0,0.50990195,0.26,0.43333333,132.78901,864.74935,976.59851,0,0.72222222,5645.0,0.94,0.91,0.95940063
Kepler-1597 b,1.2,1.06,0.0427,2.9465418,0.0427,0.0,1.0639904,1.1320755,1.0679957,1489.8558,1582.6532,1787.3581,0,1.0075431,6377.0,1.25,1.39,2.7164393
Kepler-1633 b,3.12,1.58,0.3875,186.40427,0.3875,0.0,1.4052343,1.9746835,1.2497997,29.475188,593.55895,670.33156,0,0.79101248,6256.0,1.2,1.32,4.4258837
Kepler-1634 b,10.3,3.19,1.0525,374.87624,1.0525,0.0,1.7968974,3.2288401,1.0121756,0.49040602,213.17617,243.29108232000004,0,0.31729642,5474.0,0.92,0.89,0.54325033
Kepler-1635 b,12.9,3.64,1.117,469.63111,1.117,0.0,1.8825398,3.543956,0.9736143,0.42062362,205.15076,234.49523296,0,0.26747646,5347.0,0.89,0.85,0.52480746
Kepler-201 c,8.5,2.85,0.573,151.88406,0.573,0.0,1.7269789,2.9824561,1.0464758,6.7872017,411.17093,460.29333928,0,0.3671845,6065.0,1.18,1.23,2.2284351
Kepler-202 b,3.29,1.63,0.045,4.069427,0.045,0.0,1.4207058,2.0184049,1.2382852,113.65145,831.75123,939.33232,0,0.75968418,4668.0,0.68,0.67,0.23014418
Kepler-204 b,6.94,2.53,0.117,14.400974,0.117,0.0,1.6562255,2.743083,1.0842225,78.275937,757.71656,840.10734976,0,0.42854646,5812.0,1.03,1.24,1.0715193
Kepler-207 b,3.09,1.57,0.029,1.611865,0.029,0.0,1.4029087,1.9681529,1.2536006,4066.343,2034.2331,2297.3466,0,0.79847169,5920.0,1.04,1.59,3.4197944
Kepler-287 c,10.7,3.26,0.246,44.851896,0.246,0.0,1.8116867,3.2822086,1.0068125,12.137515,475.47989,530.7759594400001,0,0.30883818,5806.0,0.97,1.03,0.73451387
Kepler-289 d,4.0,2.68,0.33,66.0634,0.33,4.307141811948533e-07,1.2216944,1.4925373,0.55691691,10.567497,459.29608,513.0385036800001,0,0.20780482,5990.0,1.08,1.0,1.1508004
Kepler-29 b,5.0,2.55,0.0919,10.33974,0.0919,0.0,1.4002801,1.9607843,0.76893502,59.754274,708.25876,785.9016009600001,0,0.30154315,5378.0,0.76,0.73,0.5046613
Kepler-225 b,1.87,1.2,0.056,6.738975,0.056,0.0,1.2483322,1.5583333,1.2986111,32.182809,606.74429,685.22233,0,1.0821759,3682.0,0.59,0.48,0.10092529
Kepler-1521 b,6.8,2.5,0.2317,47.148408,0.2317,0.0,1.6492423,2.72,1.088,5.0251373,381.40527,430.73732,0,0.4352,5042.0,0.81,0.76,0.26977394
Kepler-1535 b,7.04,2.55,0.5329,138.9442,0.5329,0.0,1.6615608,2.7607843,1.0826605,5.1488301,383.73097,430.21914312,0,0.42457275,6021.0,1.08,1.11,1.4621772
Kepler-1605 b,1.28,1.08,0.3912,85.75655,0.3912,0.0,1.0886621,1.1851852,1.0973937,17.546977,521.3751,588.81125,0,1.0161053,5280.0,0.86,0.82,2.6853444
Kepler-1617 b,1.87,1.2,0.181,27.478557,0.181,0.0,1.2483322,1.5583333,1.2986111,66.933394,728.63566,822.87948,0,1.0821759,6167.0,1.15,1.22,2.1928049
KMT-2020-BLG-0414L b,0.96,0.997,1.26,2133271.5928006885,1.26,8.416227640726857e-07,0.98126891,0.96288867,0.96578602,6.9237721059112815e-106,8.912903245383592e-30,9.65,0,0.9686921,4.401656841062795e-24,0.26,1.5457460865399666,3.0914121257379676e-82
KMT-2020-BLG-0414L c,4894.5575,12.2,0.12,62699.229171069295,0.12,2.5973042380154146e-07,20.029809,401.19324,32.884691,7.633458746767188e-104,2.888110740166448e-29,9.65,0,2.6954665,4.401656841062795e-24,0.26,1.5457460865399666,3.0914121257379676e-82
Kepler-152 c,6.3,2.39,0.356,88.255055,0.356,0.0,1.6235711,2.6359833,1.1029219,2.7045811,326.68163,368.93556,0,0.46147358,5088.0,0.83,0.72,0.34276779
Kepler-1527 b,20.4,4.77,0.6276,160.12992,0.6276,0.0,2.0680255,4.2767296,0.89658901,7.702543,424.38326,474.77405296,0,0.18796415,6224.0,1.21,1.32,3.0338912
Kepler-1538 b,8.35,2.82,0.6095,175.13882,0.6095,0.0,1.7207536,2.9609929,1.0499975,2.2133627,310.71545,350.19413319999995,0,0.37233953,5837.0,1.03,1.03,0.82224265
Kepler-1629 b,0.381,0.77,0.0485,3.8759581,0.0485,0.0,0.70342391,0.49480519,0.64260415,312.26012,1070.8505,1209.3574,0,0.83455084,5776.0,1.01,1.01,0.73451387
Kepler-163 b,1.16,1.05,0.078,7.810937,0.078,0.0,1.0510765,1.1047619,1.0521542,119.62193,842.46605,951.43302,0,1.0020516,5776.0,0.88,0.92,0.7277798
Kepler-252 c,5.27,2.15,0.08,10.848463,0.08,0.0,1.565619,2.4511628,1.1400757,25.575258,572.8682,646.96461,0,0.53026778,4208.0,0.61,0.55,0.16368165
Kepler-1619 b,0.363,0.76,0.1611,23.622591,0.1611,0.0,0.69110895,0.47763158,0.6284626,81.622317,765.68817,864.72447,0,0.82692448,5852.0,1.0,1.0,2.1183611
Kepler-1642 c,7.56,2.66,0.0678,6.6513802,0.0678,0.0,1.6858545,2.8421053,1.0684606,85.613177,774.88073,858.91928008,0,0.40167693,5355.0,0.88,0.84,0.39355008
Kepler-170 b,82.6,3.2,0.08,7.930592,0.08,0.0,5.0806004,25.8125,8.0664062,137.66389,872.57892,965.99649632,0,2.520752,5679.0,1.09,1.03,0.88104887
Kepler-171 c,7.08,2.56,0.098,11.463462,0.098,0.0,1.6630168,2.765625,1.0803223,86.805621,777.56494,861.86117424,0,0.42200089,5642.0,0.91,0.84,0.83368118
Kepler-1545 b,7.75,2.7,0.5442,163.69235,0.5442,0.0,1.6942167,2.8703704,1.0631001,1.7843618,294.42212,332.33664352,0,0.39374079,5201.0,0.84,0.8,0.52844525
Kepler-1552 b,6.66,2.47,0.6045,184.77185,0.6045,0.0,1.6420585,2.6963563,1.0916422,1.722691,291.84453,329.59254,0,0.44196041,5202.0,0.85,0.78,0.62950618
Kepler-1557 b,2.96,1.53,0.049,3.740325,0.049,0.0,1.3909136,1.9346405,1.2644709,547.7821,1232.3999,1391.8021,0,0.82645159,6099.0,1.11,1.17,1.3152248
Kepler-1558 b,0.244,0.68,0.0419,3.5047036,0.0419,0.0,0.59901881,0.35882353,0.52768166,188.61314,944.045,1066.1505,0,0.77600244,5101.0,0.83,0.79,0.33113112
Kepler-1568 b,2.24,1.3,0.1499,20.925392,0.1499,0.0,1.3126602,1.7230769,1.3254438,80.61145,763.30638,862.03461,0,1.0195721,5956.0,1.09,1.19,1.8113401
Kepler-157 b,2.3,1.32,0.028,1.732342,0.028,0.0,1.3200092,1.7424242,1.3200184,1572.8378,1604.245,1811.7426,0,1.0000139,5774.0,1.02,1.04,1.2331048
Gaia-2 b,259.66581,14.818,0.0467,3.6915224,0.0467,1.6202821270146118e-07,4.1861288,17.523675,1.1825938,522.83691,1218.1234,1344.7132464,0,0.079807921,5720.0,1.0,1.06,1.1402498
Kepler-531 b,8.15,2.78,0.1694,29.884857,0.1694,0.0,1.7122075,2.9316547,1.054552,9.77627,450.44628,503.33912288,0,0.37933527,4893.0,0.78,0.75,0.28054336
Kepler-54 c,19.8,1.23,0.0809,12.071725,0.0809,0.0,4.0121766,16.097561,13.087448,7.6401689,423.52149,478.30097,0,10.640202,3705.0,0.51,0.5,0.050003453
Kepler-55 e,3.02,1.55,0.048,4.617534,0.048,0.0,1.3958464,1.9483871,1.2570239,74.906159,749.42658,846.35956,0,0.81098318,4503.0,0.63,0.62,0.17258379
Kepler-550 b,17.9,4.42,0.0747,8.6001041,0.0747,0.0,2.012405,4.0497738,0.91623841,74.021656,747.20438,828.58600048,0,0.20729376,5322.0,0.87,0.83,0.4130475
Kepler-556 b,5.65,2.24,0.0973,11.722922,0.0973,0.0,1.5881818,2.5223214,1.1260364,94.574558,794.40742,897.15834,0,0.5026948,5740.0,1.0,0.98,0.89536477
Kepler-558 b,6.21,2.37,0.1759,29.007905,0.1759,0.0,1.6187196,2.6202532,1.1055921,13.349602,486.93029,549.91125,0,0.46649454,5242.0,0.85,0.81,0.4130475
Kepler-508 b,3.33,1.64,0.1763,25.308897,0.1763,0.0,1.4249519,2.0304878,1.2381023,62.58862,716.51214,809.18787,0,0.75494044,6025.0,1.16,1.25,1.9453601
Kepler-502 b,20.4,4.77,0.0535,4.2868643,0.0535,0.0,2.0680255,4.2767296,0.89658901,780.35539,1346.396,1485.300016,0,0.18796415,6125.0,1.15,1.22,2.2335722
Kepler-339 c,7.3,1.15,0.069,6.988055,0.069,0.0,2.5194893,6.3478261,5.5198488,102.16492,809.88837,914.64165,0,4.7998685,5631.0,0.93,0.8,0.48640721
