P_NAME,P_MASS,P_RADIUS,P_DISTANCE,P_PERIOD,P_SEMI_MAJOR_AXIS,P_ECCENTRICITY,P_ESCAPE,P_POTENTIAL,P_GRAVITY,P_FLUX,P_TEMP_EQUIL,P_TEMP_SURF,P_HABITABLE,P_DENSITY,S_TEMPERATURE,S_MASS,S_RADIUS,S_LUMINOSITY
HAT-P-66 b,248.86089,17.822,0.043806702,2.972086,0.04363,0.09,3.7368022,13.96369,0.78350861,2173.6801,1736.7478,1913.1255888000003,0,0.043963001,6002.0,1.26,1.88,4.1209752
XO-1 b,263.7989,12.778,0.0488,3.94153,0.0488,0.0,4.5436519,20.644772,1.6156497,344.4771,1097.4628,1212.4692288,0,0.12643995,5750.0,0.88,0.88,0.82035154
HD 191939 c,8.0,3.195,0.17530127,28.579743,0.1752,0.034,1.5823755,2.5039124,0.78369714,21.192538,546.45106,608.56036176,0,0.24528862,5348.0,0.81,0.94,0.65012969
WASP-47 d,14.2,3.567,0.08500425,9.03055,0.085,0.01,1.9952284,3.9809364,1.1160461,148.99918,889.99493,985.08444328,0,0.31288087,5552.0,1.04,1.14,1.0764652
TOI-216.02,18.75188,8.0,0.13095504,17.16073,0.1293,0.16,1.5310078,2.343985,0.29299812,21.899506,548.40423,610.70103608,0,0.036624766,5026.0,0.77,0.75,0.36140986
HIP 65 A b,1021.1878,22.754,0.01782,0.9809734,0.01782,0.0,6.6992152,44.879484,1.9723778,660.97434,1291.653,1425.3016880000002,0,0.086682684,4590.0,0.78,0.72,0.20989399
WASP-105 b,572.094,10.761,0.075,7.87288,0.075,0.0,7.2913405,53.163647,4.9404002,168.21994,917.42185,1015.1443476,0,0.45910233,5070.0,0.89,0.9,0.94623716
K2-19 c,10.8,4.1,0.099241055,11.8993,0.0971,0.21,1.6230053,2.6341463,0.64247472,53.747134,683.95695,759.2668172,0,0.15670115,5322.0,0.88,0.82,0.49545019
HAT-P-29 b,279.6904,13.115,0.066970135,5.72319,0.0667,0.09,4.6180075,21.325993,1.6260765,422.19627,1152.9659,1273.3006264,0,0.12398601,6087.0,1.45,1.3,1.8706821
EPIC 211945201 b,27.0,5.76,0.1493,19.49221,0.1493,0.0,2.1650635,4.6875,0.81380208,105.8962,817.18391,905.28356536,0,0.14128508,6069.0,1.17,1.39,2.3604782
WASP-167 b,2542.64,17.71,0.0365,2.0219596,0.0365,1.4324472347049658e-07,11.982106,143.57086,8.1067681,5921.2619,2234.6179,2458.7912184000006,0,0.45775088,7000.0,1.59,1.79,7.8886012
TOI-561 b,2.0,1.425,0.0106,0.4465688,0.0106,0.0,1.1846978,1.4035088,0.98491844,4746.6616,2114.4469,2387.9355,0,0.69117083,5372.0,0.81,0.84,0.5333349
HAT-P-45 b,283.492,15.984,0.045254263,3.128992,0.0452,0.049,4.2114114,17.735986,1.1096087,1230.9634,1508.222,1662.6613120000002,0,0.069419966,6330.0,1.26,1.32,2.5118864
WASP-97 b,432.2488,12.778,0.03303,2.07276,0.03303,0.0,5.8161481,33.827579,2.6473297,1079.4011,1460.1431,1609.9668376000002,0,0.20717872,5640.0,1.18,1.08,1.177606
KELT-19 A b,1293.5681,21.409,0.0637,4.6117093,0.0637,1.8923519728910933e-07,7.7731394,60.421696,2.8222568,2342.724,1772.2704,1952.0583584000003,0,0.13182572,7500.0,1.62,1.83,9.5060479
LTT 3780 b,2.47,1.32,0.0121162,0.76837883,0.01211,0.032,1.3679226,1.8712121,1.4175849,114.0077,832.2424,939.88701,0,1.073928,3360.0,0.38,0.38,0.016710906
HATS-25 b,194.82979,14.123,0.052429645,4.2986432,0.05163,0.176,3.7141907,13.795213,0.97679054,445.68548,1163.5923,1284.9471608,0,0.069163105,5715.0,0.99,1.11,1.1694994
HAT-P-50 b,429.0705,14.437,0.045599546,3.1220109,0.0453,0.115,5.4516234,29.720198,2.0586132,1966.5026,1692.1559,1864.2528664,0,0.14259286,6280.0,1.27,1.7,4.0086672
K2-233 c,12.81,1.281,0.067995868,7.06005,0.06666,0.2002,3.1622777,10.0,7.8064012,68.889316,728.31181,822.51374,0,6.09399,5033.0,0.79,0.71,0.29991625
HATS-68 b,410.0007,13.809,0.05074286,3.5862202,0.05071,0.036,5.4489294,29.690832,2.1501073,1520.878,1590.4416,1752.7739936000005,0,0.15570333,6147.0,1.35,1.75,3.908409
Qatar-7 b,597.5204,19.055,0.0352,2.032046,0.0352,0.0,5.599792,31.35767,1.64564,2950.6295,1877.4932,2067.3825472000003,0,0.086362634,6387.0,1.41,1.56,3.6559479
HAT-P-17 c,1080.6,13.1,6.02588,5584.0,5.6,0.39,9.0823207,82.48855,6.2968358,0.017801296,90.250164,108.564179744,0,0.48067449,5336.96,0.92,0.84,0.51404365
